ID_RESERVA,LLEGADA,SALIDA,NOCHES,REGIMEN,PAX,ADULTOS,NENES,FECHA_TOMA,NOMBRE_COMPLEJO,NOMBRE_HOTEL,NOMBRE_HABITACION,VALOR_RESERVA,ADR,LEAD_TIME,CANAL_CONSOLIDADO,PAIS_TOP,TIENE_FIDELIDAD,CANCELADO,PROB_CANCELACION,TARIFA,ORIGEN,TIENE_REWARDS
610000009601,2026-09-15,2026-09-29,14,All Inclusive,4,3,1.0,2026-07-16,MUJE,Complejo Costa Mujeres,CMU LOFT SUITE JT,4013.71,286.69,61.0,OTROS_INTERMEDIARIOS,ALEMANIA,0.0,0,0.2961,No Reembolsable,SINTETICO,
610000110601,2026-01-02,2026-01-09,7,All Inclusive,3,2,1.0,2025-12-18,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,2817.2,402.46,15.0,FIDELIDAD_PTC,ARGENTINA,0.0,0,0.2195,Flexible - Paga en Destino,SINTETICO,
610000210701,2026-09-20,2026-09-27,7,All Inclusive,2,2,0.0,2026-07-22,CANA,Complejo Punta Cana,PC JUNIOR SUITE GV,1745.04,249.29,60.0,OTA POWER,ARGENTINA,0.0,0,0.2549,Flexible - Paga en Destino,SINTETICO,
610000310601,2026-02-16,2026-02-21,5,All Inclusive,3,3,0.0,2025-11-22,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,1877.18,375.44,86.0,FIDELIDAD_PTC,ALEMANIA,0.0,0,0.284,Flexible - Paga en Destino,SINTETICO,
610000410601,2026-01-13,2026-01-20,7,All Inclusive,4,4,0.0,2025-10-17,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,3140.96,448.71,88.0,VENTA DIRECTA,ARGENTINA,0.0,0,0.1964,Flexible - Paga Ahora,SINTETICO,
610000510601,2026-08-22,2026-08-29,7,All Inclusive,2,2,0.0,2026-05-25,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE GV,2979.89,425.7,89.0,OTROS_INTERMEDIARIOS,OTROS,0.0,0,0.361,Flexible - Paga Ahora,SINTETICO,
610000609601,2026-05-18,2026-05-21,3,All Inclusive,5,3,2.0,2026-04-10,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE PS,885.0,295.0,38.0,OTA POWER,MEXICO,0.0,0,0.4533,Flexible - Paga en Destino,SINTETICO,
610000710601,2026-01-18,2026-01-28,10,All Inclusive,3,2,1.0,2025-12-18,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,3606.95,360.69,31.0,B2B_TTOO,ALEMANIA,0.0,0,0.2352,Flexible - Paga Ahora,SINTETICO,
610000810601,2026-09-13,2026-09-18,5,All Inclusive,4,2,2.0,2026-08-09,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE PS OV,1702.52,340.5,35.0,VENTA DIRECTA,ALEMANIA,0.0,0,0.1666,Flexible - Paga Ahora,SINTETICO,
610000909601,2026-01-23,2026-01-30,7,All Inclusive,2,2,0.0,2025-07-10,MUJE,Complejo Costa Mujeres,CMU LOFT SUITE JT,3184.48,454.93,197.0,OTROS_INTERMEDIARIOS,OTROS,0.0,0,0.488,No Reembolsable,SINTETICO,
610001009601,2026-10-29,2026-11-02,4,All Inclusive,2,2,0.0,2026-08-03,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE GV,1001.29,250.32,87.0,OTA POWER,OTROS,0.0,0,0.4515,Flexible - Paga Ahora,SINTETICO,
610001110601,2026-04-11,2026-04-16,5,All Inclusive,3,3,0.0,2025-09-24,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE GV,1316.63,263.33,199.0,B2B_TTOO,OTROS,0.0,0,0.4952,Flexible - Paga en Destino,SINTETICO,
610001210601,2026-03-04,2026-03-10,6,All Inclusive,2,2,0.0,2026-01-28,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE GV,1608.0,268.0,35.0,OTROS_INTERMEDIARIOS,MEXICO,0.0,0,0.3422,Flexible - Paga Ahora,SINTETICO,
610001309601,2026-03-30,2026-04-02,3,All Inclusive,3,2,1.0,2026-01-31,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE GV,787.98,262.66,58.0,FIDELIDAD_PTC,ARGENTINA,0.0,0,0.3291,No Reembolsable,SINTETICO,
610001410701,2026-03-12,2026-03-16,4,All Inclusive,2,2,0.0,2025-11-23,CANA,Complejo Punta Cana,BAV JUNIOR SUITE GV,1043.85,260.96,109.0,FIDELIDAD_PTC,MEXICO,1.0,0,0.2928,Flexible - Paga en Destino,SINTETICO,
610001509601,2026-04-01,2026-04-06,5,All Inclusive,2,2,0.0,2026-02-28,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE PS,1202.94,240.59,32.0,VENTA DIRECTA,OTROS,1.0,0,0.0686,Flexible - Paga en Destino,SINTETICO,
610001610601,2026-12-10,2026-12-14,4,All Inclusive,2,2,0.0,2026-11-28,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,1401.94,350.49,12.0,OTA POWER,ESTADOS UNIDOS,0.0,0,0.4502,No Reembolsable,SINTETICO,
610001709601,2026-05-18,2026-05-25,7,All Inclusive,1,1,0.0,2026-04-23,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE GV,1772.78,253.25,25.0,VENTA DIRECTA,OTROS,0.0,1,0.2792,Flexible - Paga en Destino,SINTETICO,
610001809601,2026-02-02,2026-02-07,5,All Inclusive,2,2,0.0,2025-12-23,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE PS,1711.7,342.34,41.0,FIDELIDAD_PTC,ESTADOS UNIDOS,1.0,0,0.112,No Reembolsable,SINTETICO,
610001910601,2026-06-29,2026-07-04,5,All Inclusive,4,4,0.0,2026-06-02,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE PS OV,1523.14,304.63,27.0,OTROS_INTERMEDIARIOS,ALEMANIA,0.0,0,0.2239,No Reembolsable,SINTETICO,
610002010701,2026-05-09,2026-05-14,5,All Inclusive,2,1,1.0,2025-10-24,CANA,Complejo Punta Cana,BAV JUNIOR SUITE GV,1336.28,267.26,197.0,B2B_TTOO,ARGENTINA,0.0,0,0.5038,Flexible - Paga en Destino,SINTETICO,
610002110701,2026-06-13,2026-06-20,7,All Inclusive,2,2,0.0,2026-05-21,CANA,Complejo Punta Cana,BAV JUNIOR SUITE GV,1291.35,184.48,23.0,OTA POWER,REINO UNIDO,1.0,0,0.2045,No Reembolsable,SINTETICO,
610002210601,2026-08-06,2026-08-13,7,All Inclusive,3,2,1.0,2026-06-18,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,3016.1,430.87,49.0,OTA POWER,OTROS,1.0,0,0.2823,No Reembolsable,SINTETICO,
610002310601,2026-05-11,2026-05-18,7,All Inclusive,2,2,0.0,2026-05-01,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE GV,1758.67,251.24,10.0,B2B_TTOO,CANADA,0.0,0,0.3179,No Reembolsable,SINTETICO,
610002410701,2026-09-21,2026-10-01,10,All Inclusive,3,3,0.0,2026-07-25,CANA,Complejo Punta Cana,BAV JUNIOR SUITE GV,2238.39,223.84,58.0,OTA POWER,ALEMANIA,1.0,0,0.2017,No Reembolsable,SINTETICO,
610002510701,2026-07-24,2026-07-31,7,All Inclusive,2,2,0.0,2026-06-15,CANA,Complejo Punta Cana,BAV PREMIUM JS GV,2676.53,382.36,39.0,B2B_TTOO,MEXICO,0.0,0,0.3123,No Reembolsable,SINTETICO,
610002610601,2026-04-07,2026-04-11,4,All Inclusive,5,3,2.0,2026-02-10,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,1303.54,325.89,56.0,FIDELIDAD_PTC,OTROS,1.0,0,0.1598,Flexible - Paga en Destino,SINTETICO,
610002709601,2026-02-21,2026-03-07,14,All Inclusive,3,3,0.0,2026-02-06,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE PS,5588.99,399.21,15.0,OTROS_INTERMEDIARIOS,ESTADOS UNIDOS,0.0,0,0.3426,No Reembolsable,SINTETICO,
610002810701,2026-09-18,2026-09-22,4,All Inclusive,2,2,0.0,2026-08-16,CANA,Complejo Punta Cana,BAV JUNIOR SUITE GV,797.86,199.47,33.0,OTROS_INTERMEDIARIOS,ARGENTINA,0.0,0,0.2586,Flexible - Paga en Destino,SINTETICO,
610002909601,2026-07-18,2026-07-22,4,All Inclusive,3,3,0.0,2026-05-24,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE PS,1905.65,476.41,55.0,B2B_TTOO,OTROS,0.0,0,0.4254,No Reembolsable,SINTETICO,
610003010601,2026-04-02,2026-04-07,5,All Inclusive,3,3,0.0,2026-03-23,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,1539.2,307.84,10.0,VENTA DIRECTA,OTROS,0.0,0,0.2432,No Reembolsable,SINTETICO,
610003109601,2026-02-24,2026-03-10,14,All Inclusive,2,2,0.0,2026-01-26,MUJE,Complejo Costa Mujeres,CMU LOFT SUITE JT,5456.85,389.77,29.0,VENTA DIRECTA,MEXICO,0.0,0,0.2111,Flexible - Paga en Destino,SINTETICO,
610003210701,2026-08-22,2026-09-05,14,All Inclusive,3,3,0.0,2026-07-24,CANA,Complejo Punta Cana,PC JUNIOR SUITE GV,5167.11,369.08,29.0,B2B_TTOO,MEXICO,0.0,0,0.215,Flexible - Paga en Destino,SINTETICO,
610003310601,2026-12-03,2026-12-13,10,All Inclusive,2,2,0.0,2026-10-28,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,3737.46,373.75,36.0,B2B_TTOO,OTROS,0.0,0,0.3606,Flexible - Paga Ahora,SINTETICO,
610003410601,2026-10-18,2026-10-25,7,All Inclusive,2,2,0.0,2026-09-22,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE GV,1786.58,255.23,26.0,FIDELIDAD_PTC,MEXICO,1.0,0,0.05,No Reembolsable,SINTETICO,
610003510701,2026-05-18,2026-05-23,5,All Inclusive,2,2,0.0,2026-03-29,CANA,Complejo Punta Cana,PAL JUNIOR SUITE GV,1360.29,272.06,50.0,FIDELIDAD_PTC,MEXICO,1.0,0,0.1489,No Reembolsable,SINTETICO,
610003610701,2026-12-08,2026-12-15,7,All Inclusive,2,2,0.0,2026-09-17,CANA,Complejo Punta Cana,PC JUNIOR SUITE GV,2984.13,426.3,82.0,OTA POWER,ESTADOS UNIDOS,0.0,0,0.2761,No Reembolsable,SINTETICO,
610003710601,2026-09-01,2026-09-11,10,All Inclusive,1,1,0.0,2026-08-07,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE PS OV,1880.15,188.01,25.0,B2B_TTOO,MEXICO,1.0,0,0.0914,No Reembolsable,SINTETICO,
610003810601,2026-10-12,2026-10-19,7,All Inclusive,4,4,0.0,2026-08-18,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE PS OV,1637.36,233.91,55.0,FIDELIDAD_PTC,CANADA,0.0,0,0.2119,No Reembolsable,SINTETICO,
610003910601,2026-10-29,2026-11-05,7,All Inclusive,4,4,0.0,2026-10-03,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,2362.25,337.46,26.0,OTROS_INTERMEDIARIOS,CANADA,0.0,0,0.2816,Flexible - Paga en Destino,SINTETICO,
610004010601,2026-09-03,2026-09-08,5,All Inclusive,1,1,0.0,2026-05-25,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE PS OV,1285.08,257.02,101.0,FIDELIDAD_PTC,OTROS,0.0,0,0.4932,No Reembolsable,SINTETICO,
610004110701,2026-07-24,2026-07-29,5,All Inclusive,4,3,1.0,2026-05-04,CANA,Complejo Punta Cana,PAL JUNIOR SUITE GV,2285.12,457.02,81.0,FIDELIDAD_PTC,REINO UNIDO,1.0,0,0.1545,Flexible - Paga en Destino,SINTETICO,
610004210701,2026-07-04,2026-07-08,4,All Inclusive,5,3,2.0,2025-12-30,CANA,Complejo Punta Cana,PC JUNIOR SUITE GV,1525.99,381.5,186.0,VENTA DIRECTA,REINO UNIDO,0.0,0,0.3482,No Reembolsable,SINTETICO,
610004309601,2026-04-19,2026-04-26,7,All Inclusive,2,2,0.0,2026-02-22,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE PS,2196.8,313.83,56.0,B2B_TTOO,ARGENTINA,0.0,1,0.2578,No Reembolsable,SINTETICO,
610004410701,2026-03-20,2026-03-27,7,All Inclusive,4,3,1.0,2026-03-08,CANA,Complejo Punta Cana,PAL JUNIOR SUITE GV,2222.21,317.46,12.0,B2B_TTOO,OTROS,1.0,0,0.1581,Flexible - Paga en Destino,SINTETICO,
610004509601,2026-12-21,2026-12-24,3,All Inclusive,2,2,0.0,2026-12-03,MUJE,Complejo Costa Mujeres,CMU LOFT SUITE JT,1096.64,365.55,18.0,VENTA DIRECTA,MEXICO,1.0,0,0.1085,No Reembolsable,SINTETICO,
610004610601,2026-06-16,2026-06-20,4,All Inclusive,1,1,0.0,2026-03-23,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,732.08,183.02,85.0,B2B_TTOO,MEXICO,0.0,0,0.2383,Flexible - Paga en Destino,SINTETICO,
610004710701,2026-04-13,2026-04-23,10,All Inclusive,2,2,0.0,2026-03-21,CANA,Complejo Punta Cana,PAL JUNIOR SUITE GV,2906.37,290.64,23.0,OTA POWER,REINO UNIDO,0.0,0,0.3346,No Reembolsable,SINTETICO,
610004809601,2026-06-08,2026-06-15,7,All Inclusive,2,2,0.0,2026-04-09,MUJE,Complejo Costa Mujeres,CMU JUNIOR SUITE GV,1557.31,222.47,60.0,OTA POWER,ESTADOS UNIDOS,0.0,0,0.3858,Flexible - Paga Ahora,SINTETICO,
610004909601,2026-11-25,2026-12-01,6,All Inclusive,3,1,2.0,2026-08-05,MUJE,Complejo Costa Mujeres,CMU LOFT SUITE JT,1870.68,311.78,112.0,B2B_TTOO,MEXICO,0.0,0,0.4453,Flexible - Paga en Destino,SINTETICO,
610005010701,2026-09-07,2026-09-21,14,All Inclusive,4,2,2.0,2026-08-20,CANA,Complejo Punta Cana,PC JUNIOR SUITE GV,3034.54,216.75,18.0,FIDELIDAD_PTC,REINO UNIDO,0.0,0,0.2896,Flexible - Paga en Destino,SINTETICO,
610005110701,2026-02-10,2026-02-16,6,All Inclusive,5,3,2.0,2025-12-14,CANA,Complejo Punta Cana,PAL JUNIOR SUITE GV,2306.53,384.42,58.0,B2B_TTOO,ESTADOS UNIDOS,1.0,0,0.1555,Flexible - Paga Ahora,SINTETICO,
610005210601,2026-11-27,2026-12-07,10,All Inclusive,2,2,0.0,2026-05-06,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE GV,2510.23,251.02,205.0,OTA POWER,ESTADOS UNIDOS,1.0,0,0.357,Flexible - Paga Ahora,SINTETICO,
610005310701,2026-02-06,2026-02-13,7,All Inclusive,3,3,0.0,2025-11-22,CANA,Complejo Punta Cana,PC JUNIOR SUITE GV,2914.73,416.39,76.0,OTA POWER,MEXICO,0.0,0,0.2985,Flexible - Paga en Destino,SINTETICO,
610005410601,2026-09-08,2026-09-12,4,All Inclusive,3,3,0.0,2026-08-18,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,1039.46,259.86,21.0,FIDELIDAD_PTC,ALEMANIA,0.0,0,0.2437,No Reembolsable,SINTETICO,
610005510601,2026-03-13,2026-03-18,5,All Inclusive,2,2,0.0,2025-11-28,MAYA,Complejo Riviera Maya,COL JUNIOR SUITE GV,1721.71,344.34,105.0,OTROS_INTERMEDIARIOS,ESTADOS UNIDOS,0.0,0,0.3833,No Reembolsable,SINTETICO,
610005610601,2026-04-22,2026-04-29,7,All Inclusive,2,2,0.0,2026-01-28,MAYA,Complejo Riviera Maya,WS JUNIOR SUITE PS OV,1885.23,269.32,84.0,FIDELIDAD_PTC,ALEMANIA,0.0,0,0.1602,Flexible - Paga Ahora,SINTETICO,
